Generation,BestFitness,AvgFitness,MinFitness,StdDev,SpeciesCount,Duration(s),Timestamp
1,12.004518747329712,5.1354490677515665,0.001001119613647461,5.024732800330576,30,0,2025-12-19T15:35:31.393703
2,12.011005640029907,6.939185579617818,0.0010042190551757812,4.948174572418604,30,0.10702157020568848,2025-12-19T15:35:31.652728
3,12.007751941680908,5.535226496060689,0.0,5.207612016023605,30,0.31156229972839355,2025-12-19T15:35:31.808070
4,12.005007028579712,4.6695112705230715,0.0,5.120999166892184,30,0.09357047080993652,2025-12-19T15:35:31.918692
5,12.005132913589478,4.068242232004802,0.0,4.99288286610677,30,0.10768318176269531,2025-12-19T15:35:31.989832
6,14.007006645202637,7.06857381661733,0.000995635986328125,5.079591893189212,30,0.0750577449798584,2025-12-19T15:35:32.076385
7,12.005017280578613,4.53518439133962,0.0,5.213866535932343,30,0.09661006927490234,2025-12-19T15:35:32.167282
8,12.002023696899414,6.534969210624695,0.0009872913360595703,4.869633391314931,30,0.07865214347839355,2025-12-19T15:35:32.241517
9,12.004506826400757,5.268707791964213,0.0,5.303729109918693,30,0.07521414756774902,2025-12-19T15:35:32.337333
10,12.005540132522583,6.601755960782369,0.0,4.930343657091573,30,0.09982728958129883,2025-12-19T15:35:32.422620
11,12.004526853561401,7.335094745953878,0.0005066394805908203,4.853762584682614,30,0.0844879150390625,2025-12-19T15:35:32.508258
12,14.008059024810791,5.00223769346873,0.0,5.28569715148439,30,0.07912898063659668,2025-12-19T15:35:32.603735
13,12.00501823425293,4.7346376578013105,0.0,5.072563632831416,30,0.09520816802978516,2025-12-19T15:35:32.669960
14,12.004005670547485,5.867643984158834,0.0,5.162373186674848,30,0.06761884689331055,2025-12-19T15:35:32.727326
15,14.008026838302612,6.202797738711039,0.0,5.401021413732857,30,0.05934643745422363,2025-12-19T15:35:32.838267
16,12.005075931549072,4.801653377215067,0.0009696483612060547,5.022496460966748,30,0.10978245735168457,2025-12-19T15:35:32.913563
17,12.004557132720947,4.401722017923991,0.0,5.301760249983069,30,0.07537198066711426,2025-12-19T15:35:32.993608
18,12.003092288970947,4.534700020154317,0.0,5.213876048994102,30,0.0808572769165039,2025-12-19T15:35:33.063763
19,12.003547430038452,4.86819015343984,0.0,5.232915624776784,30,0.0662233829498291,2025-12-19T15:35:33.135190
20,12.003078937530518,4.40129877726237,0.0,5.0436467962128395,30,0.07044172286987305,2025-12-19T15:35:33.202762
21,12.00270128250122,6.868026280403138,0.0009989738464355469,4.890422471848106,30,0.06780004501342773,2025-12-19T15:35:33.266024
22,12.004512071609497,5.334770345687867,0.0,5.120788146975592,30,0.06206536293029785,2025-12-19T15:35:33.337936
23,12.005040645599365,4.934774645169576,0.0,5.3106670987932905,30,0.07537698745727539,2025-12-19T15:35:33.406886
24,12.003081798553467,3.8679254770278932,0.0,4.842476737549186,30,0.06153607368469238,2025-12-19T15:35:33.467965
25,10.001519203186035,6.000969902674357,0.0,4.898678621360926,30,0.06816935539245605,2025-12-19T15:35:33.527159
26,12.003511428833008,6.734834130605062,0.0,5.046048383335121,30,0.05493950843811035,2025-12-19T15:35:33.595758
27,12.00360369682312,5.468099617958069,0.0,5.1624765514446915,30,0.07715034484863281,2025-12-19T15:35:33.669749
28,12.006472110748291,3.4677919864654543,0.0,4.924588887493806,30,0.06383991241455078,2025-12-19T15:35:33.726395
29,12.003931283950806,5.667870704332987,0.0,5.344358532662999,30,0.06625580787658691,2025-12-19T15:35:33.795469
30,12.0,4.134383861223856,0.0,4.9511100756419,30,0.06562423706054688,2025-12-19T15:35:33.855331
31,12.00269365310669,6.400977396965027,0.0,4.882755885746592,30,0.054505348205566406,2025-12-19T15:35:33.908617
32,12.002002954483032,6.134279394149781,0.0,5.03135902247985,30,0.05868101119995117,2025-12-19T15:35:33.963761
33,10.002012252807617,4.0006946166356405,0.0,4.8989926180855905,30,0.05396747589111328,2025-12-19T15:35:34.011558
34,12.001927375793457,6.067654498418173,0.0,4.966164203411631,30,0.04087042808532715,2025-12-19T15:35:34.062077
35,20.013970136642456,7.867950852711996,0.0,5.085350589398495,30,0.054558515548706055,2025-12-19T15:35:34.128340
36,12.002167463302612,5.20075831413269,0.0,5.230826264708815,30,0.06730270385742188,2025-12-19T15:35:34.178257
37,12.00206708908081,5.600833614667256,0.0,5.27662040516157,30,0.051668405532836914,2025-12-19T15:35:34.231764
38,12.001502275466919,5.733918182055155,0.0,5.026171473323638,30,0.06298708915710449,2025-12-19T15:35:34.286286
39,12.001976251602173,5.668003598848979,0.0,4.982448580657785,30,0.04172849655151367,2025-12-19T15:35:34.351580
40,12.000999212265015,5.401044050852458,0.0,5.0636533156494785,30,0.05909562110900879,2025-12-19T15:35:34.402544
41,12.001890897750854,5.800919636090597,0.0,5.094972332283162,30,0.0536653995513916,2025-12-19T15:35:34.451831
42,12.003077983856201,4.601320433616638,0.0,5.037018520166936,30,0.056156158447265625,2025-12-19T15:35:34.520004
43,12.004030227661133,4.867810789744059,0.0,5.103975739883255,30,0.058324337005615234,2025-12-19T15:35:34.572552
44,12.004016876220703,5.200796365737915,0.0,5.230791501774903,30,0.062377214431762695,2025-12-19T15:35:34.624163
45,12.00215482711792,4.06766308148702,0.0,4.99286303810873,30,0.046587467193603516,2025-12-19T15:35:34.678846
46,12.003058910369873,4.934241779645284,0.0,5.183068570598091,30,0.054594993591308594,2025-12-19T15:35:34.730025
47,12.004011631011963,4.534352254867554,0.0,5.213796569733479,30,0.0505979061126709,2025-12-19T15:35:34.784489
48,12.002098321914673,6.801089708010355,0.0,4.833320762043841,30,0.0555117130279541,2025-12-19T15:35:34.840485
49,12.00400447845459,6.600797700881958,0.0,4.93036793718239,30,0.05489206314086914,2025-12-19T15:35:34.888009
50,12.0020112991333,3.2012145439783732,0.0,4.635972779758987,30,0.04967522621154785,2025-12-19T15:35:34.952988
